VGEM	Peak	dPeak	Sigma	dsigma	gaus	dgaus
370	730	10	250	10	5.60	0.03
380	1420	10	480	10	6.76	0.03
390	3140	15	710	10	7.67	0.03
400	5770	16	1070	12	8.86	0.03
410	10570	20	1450	17	8.72	0.04
420	16270	40	2420	40	8.94	0.04
430	25320	80	4400	60	9.47	0.03
440	35000	120	6660	90	9.93	0.05
450	48940	200	9870	140	10.3	0.1
470	85000	1000	20000	1000	10.8	0.2
